sample,ploidy,cellularity
HRR226272,4.96,1
HRR226273,4.92,1
HRR226274,2,1
HRR226275,4.96,1
HRR226276,2,1
HRR226277,2,1
HRR226278,2,1
HRR226279,2,1
HRR226280,2,1
HRR226281,2,1
HRR226282,2,1
HRR226283,2,1
HRR226284,2,1
HRR226285,2,1
HRR226286,2,1
HRR226287,2,1
HRR226288,2,1
HRR226289,2,1
HRR226290,2.96,1
HRR226291,2,1
HRR226292,3.68,1
HRR226293,2,1
HRR226294,2,1
HRR226295,2,1
HRR226296,2,1
HRR226297,2,1
HRR226298,2,1
HRR226299,2,1
HRR226300,3.96,1
HRR226301,4.88,1
HRR226302,4.28,1
HRR226303,3.88,1
HRR226304,2,1
HRR226305,2,1
HRR226306,3.88,1
HRR226307,2,1
HRR226308,3.84,1
HRR226309,2,1
HRR226310,2,1
HRR226311,2,1
HRR226312,2,1
HRR226313,2,1
HRR226314,2,1
HRR226315,2,1
HRR226316,2,1
HRR226317,2,1
HRR226318,2,1
HRR226319,2,1
HRR226320,3.88,1
HRR226321,3.96,1
HRR226322,3.88,1
HRR226323,2,1
HRR226324,3.92,1
HRR226325,4.16,1
HRR226326,4.92,1
HRR226327,3.56,1
HRR226328,3.96,1
HRR226329,3.8,1
HRR226330,2,1
HRR226331,2,1
HRR226332,2,1
HRR226333,2,1
HRR226334,2,1
HRR226335,2,1
HRR226336,2,1
HRR226337,2,1
HRR226338,2,1
HRR226339,2.04,1
HRR226340,2,1
HRR226341,4.72,1
HRR226342,2.84,1
HRR226343,2.04,1
HRR226344,2.04,1
HRR226345,2,1
HRR226346,2,1
HRR226347,2,1
HRR226348,2,1
HRR226349,2,1
HRR226350,2.96,1
HRR226351,2,1
HRR226352,4.08,1
HRR226353,2,1
HRR226354,2,1
HRR226355,2,1
HRR226356,2,1
HRR226357,2,1
HRR226358,2,1
HRR226359,2,1
HRR226360,2,1
HRR226361,2,1
HRR226362,2,1
HRR226363,2,1
HRR226364,2,1
HRR226365,2,1
HRR226366,2,1
HRR226367,2,1
HRR226368,2,1
HRR226369,2,1
HRR226370,2,1
HRR226371,2,1
HRR226372,2.04,1
HRR226373,2.04,1
HRR226374,2,1
HRR226375,2.04,1
HRR226376,2,1
HRR226377,2.04,0.99
HRR226378,2,1
HRR226379,2.04,1
HRR226380,2,1
HRR226381,2,1
HRR226382,2,1
HRR226383,2,1
HRR226384,2,1
HRR226385,2,1
HRR226386,2,1
HRR226387,2,1
HRR226388,2,1
HRR226389,2,1
HRR226390,2,1
