tcgaSignature1,tcgaSignature2,tcgaSignature3,tcgaSignature4,tcgaSignature5,tcgaSignature6,tcgaSignature7,tcgaSignature8
0.727,0.001,0.007,0.054,0.657,0.598,0.034,0.001
0.509,0.006,0.023,0.07,0.779,0.517,0.056,0.002
0.441,0.006,0.035,0.078,0.752,0.538,0.091,0.002
0.436,0.01,0.049,0.097,0.692,0.611,0.097,0.002
0.404,0.017,0.077,0.14,0.666,0.629,0.116,0.003
0.367,0.015,0.078,0.135,0.65,0.615,0.13,0.003
0.333,0.014,0.074,0.129,0.727,0.512,0.146,0.004
0.34,0.015,0.089,0.153,0.647,0.584,0.148,0.004
0.352,0.029,0.114,0.183,0.633,0.63,0.17,0.004
0.321,0.019,0.107,0.173,0.662,0.56,0.183,0.005
