sample,chromosome,start,end,segVal
HRR226279,1,1000001,2000000,3
HRR226279,1,2000001,3000000,3
HRR226279,1,3000001,4000000,1
HRR226279,1,4000001,5000000,3
HRR226279,1,6000001,7000000,2
HRR226279,1,7000001,8000000,3
HRR226279,1,10000001,11000000,2
HRR226279,1,11000001,12000000,2
HRR226279,1,12000001,13000000,3
HRR226279,1,13000001,14000000,2
HRR226279,1,14000001,15000000,3
HRR226279,1,15000001,16000000,2
HRR226279,1,17000001,18000000,3
HRR226279,1,18000001,19000000,3
HRR226279,1,19000001,20000000,2
HRR226279,1,20000001,21000000,2
HRR226279,1,21000001,22000000,2
HRR226279,1,22000001,23000000,2
HRR226279,1,23000001,24000000,2
HRR226279,1,24000001,25000000,2
HRR226279,1,25000001,26000000,2
HRR226279,1,26000001,27000000,2
HRR226279,1,27000001,28000000,2
HRR226279,1,28000001,29000000,2
HRR226279,1,29000001,30000000,2
HRR226279,1,30000001,31000000,3
HRR226279,1,31000001,32000000,2
HRR226279,1,34000001,35000000,2
HRR226279,1,35000001,36000000,2
HRR226279,1,36000001,37000000,2
HRR226279,1,37000001,38000000,3
HRR226279,1,39000001,40000000,2
HRR226279,1,40000001,41000000,2
HRR226279,1,41000001,42000000,2
HRR226279,1,42000001,43000000,2
HRR226279,1,43000001,44000000,2
HRR226279,1,44000001,45000000,2
HRR226279,1,45000001,46000000,2
HRR226279,1,46000001,47000000,3
HRR226279,1,47000001,48000000,3
HRR226279,1,48000001,49000000,2
HRR226279,1,49000001,50000000,3
HRR226279,1,51000001,52000000,2
HRR226279,1,53000001,54000000,2
HRR226279,1,54000001,55000000,2
HRR226279,1,56000001,57000000,2
HRR226279,1,57000001,58000000,2
HRR226279,1,58000001,59000000,2
HRR226279,1,59000001,60000000,2
HRR226279,1,60000001,61000000,2
HRR226279,1,61000001,62000000,2
HRR226279,1,62000001,63000000,2
HRR226279,1,63000001,64000000,2
HRR226279,1,64000001,65000000,2
HRR226279,1,65000001,66000000,2
HRR226279,1,68000001,69000000,2
HRR226279,1,69000001,70000000,2
HRR226279,1,70000001,71000000,2
HRR226279,1,71000001,72000000,2
HRR226279,1,72000001,73000000,2
HRR226279,1,74000001,75000000,2
HRR226279,1,75000001,76000000,2
HRR226279,1,77000001,78000000,2
HRR226279,1,78000001,79000000,2
HRR226279,1,79000001,80000000,2
HRR226279,1,80000001,81000000,2
HRR226279,1,81000001,82000000,2
HRR226279,1,82000001,83000000,2
HRR226279,1,84000001,85000000,2
HRR226279,1,85000001,86000000,2
HRR226279,1,86000001,87000000,2
HRR226279,1,87000001,88000000,2
HRR226279,1,88000001,89000000,2
HRR226279,1,89000001,90000000,2
HRR226279,1,90000001,91000000,2
HRR226279,1,91000001,92000000,2
HRR226279,1,92000001,93000000,2
HRR226279,1,94000001,95000000,2
HRR226279,1,95000001,96000000,2
HRR226279,1,96000001,97000000,2
HRR226279,1,97000001,98000000,2
HRR226279,1,98000001,99000000,2
HRR226279,1,99000001,100000000,2
HRR226279,1,100000001,101000000,2
HRR226279,1,101000001,102000000,2
HRR226279,1,104000001,105000000,2
HRR226279,1,105000001,106000000,2
HRR226279,1,107000001,108000000,2
HRR226279,1,108000001,109000000,2
HRR226279,1,109000001,110000000,2
HRR226279,1,110000001,111000000,2
HRR226279,1,111000001,112000000,2
HRR226279,1,112000001,113000000,2
HRR226279,1,113000001,114000000,2
HRR226279,1,114000001,115000000,2
HRR226279,1,115000001,116000000,2
HRR226279,1,116000001,117000000,2
HRR226279,1,117000001,118000000,2
HRR226279,1,118000001,119000000,2
HRR226279,1,119000001,120000000,3
HRR226279,1,147000001,148000000,3
HRR226279,1,150000001,151000000,2
HRR226279,1,151000001,152000000,2
HRR226279,1,152000001,153000000,2
HRR226279,1,153000001,154000000,2
HRR226279,1,154000001,155000000,2
HRR226279,1,155000001,156000000,2
HRR226279,1,156000001,157000000,2
HRR226279,1,157000001,158000000,2
HRR226279,1,160000001,161000000,2
HRR226279,1,161000001,162000000,2
HRR226279,1,162000001,163000000,2
HRR226279,1,163000001,164000000,2
HRR226279,1,164000001,165000000,2
HRR226279,1,165000001,166000000,2
HRR226279,1,166000001,167000000,2
HRR226279,1,167000001,168000000,2
HRR226279,1,168000001,169000000,2
HRR226279,1,171000001,172000000,2
HRR226279,1,173000001,174000000,2
HRR226279,1,174000001,175000000,2
HRR226279,1,175000001,176000000,2
HRR226279,1,176000001,177000000,2
HRR226279,1,177000001,178000000,3
HRR226279,1,178000001,179000000,2
HRR226279,1,179000001,180000000,2
HRR226279,1,180000001,181000000,2
HRR226279,1,182000001,183000000,2
HRR226279,1,183000001,184000000,2
HRR226279,1,184000001,185000000,2
HRR226279,1,185000001,186000000,2
HRR226279,1,186000001,187000000,2
HRR226279,1,187000001,188000000,2
HRR226279,1,188000001,189000000,2
HRR226279,1,189000001,190000000,2
HRR226279,1,190000001,191000000,2
HRR226279,1,192000001,193000000,2
HRR226279,1,193000001,194000000,2
HRR226279,1,194000001,195000000,2
HRR226279,1,196000001,197000000,2
HRR226279,1,197000001,198000000,2
HRR226279,1,198000001,199000000,2
HRR226279,1,200000001,201000000,2
HRR226279,1,201000001,202000000,2
HRR226279,1,202000001,203000000,2
HRR226279,1,203000001,204000000,2
HRR226279,1,204000001,205000000,2
HRR226279,1,205000001,206000000,2
HRR226279,1,206000001,207000000,2
HRR226279,1,207000001,208000000,2
HRR226279,1,208000001,209000000,2
HRR226279,1,209000001,210000000,2
HRR226279,1,210000001,211000000,2
HRR226279,1,211000001,212000000,2
HRR226279,1,212000001,213000000,2
HRR226279,1,213000001,214000000,2
HRR226279,1,216000001,217000000,2
HRR226279,1,217000001,218000000,2
HRR226279,1,218000001,219000000,2
HRR226279,1,219000001,220000000,2
HRR226279,1,220000001,221000000,2
HRR226279,1,221000001,222000000,2
HRR226279,1,222000001,223000000,2
HRR226279,1,223000001,224000000,3
HRR226279,1,224000001,225000000,2
HRR226279,1,225000001,226000000,2
HRR226279,1,228000001,229000000,2
HRR226279,1,230000001,231000000,3
HRR226279,1,231000001,232000000,2
HRR226279,1,232000001,233000000,2
HRR226279,1,234000001,235000000,2
HRR226279,1,236000001,237000000,2
HRR226279,1,238000001,239000000,2
HRR226279,1,239000001,240000000,2
HRR226279,1,240000001,241000000,2
HRR226279,1,241000001,242000000,2
HRR226279,1,242000001,243000000,2
HRR226279,1,243000001,244000000,2
HRR226279,1,244000001,245000000,2
HRR226279,1,245000001,246000000,2
HRR226279,1,246000001,247000000,2
HRR226279,1,247000001,248000000,2
HRR226279,1,248000001,248956422,2
HRR226279,2,2000001,3000000,2
HRR226279,2,3000001,4000000,2
HRR226279,2,4000001,5000000,2
HRR226279,2,5000001,6000000,2
HRR226279,2,6000001,7000000,2
HRR226279,2,7000001,8000000,2
HRR226279,2,8000001,9000000,2
HRR226279,2,9000001,10000000,2
HRR226279,2,10000001,11000000,2
HRR226279,2,11000001,12000000,2
HRR226279,2,12000001,13000000,2
HRR226279,2,13000001,14000000,2
HRR226279,2,14000001,15000000,2
HRR226279,2,15000001,16000000,2
HRR226279,2,17000001,18000000,2
HRR226279,2,18000001,19000000,2
HRR226279,2,19000001,20000000,2
HRR226279,2,20000001,21000000,2
HRR226279,2,21000001,22000000,2
HRR226279,2,23000001,24000000,2
HRR226279,2,25000001,26000000,1
HRR226279,2,26000001,27000000,1
HRR226279,2,27000001,28000000,1
HRR226279,2,28000001,29000000,2
HRR226279,2,29000001,30000000,2
HRR226279,2,30000001,31000000,2
HRR226279,2,31000001,32000000,2
HRR226279,2,34000001,35000000,2
HRR226279,2,35000001,36000000,2
HRR226279,2,37000001,38000000,2
HRR226279,2,38000001,39000000,2
HRR226279,2,39000001,40000000,2
HRR226279,2,41000001,42000000,2
HRR226279,2,42000001,43000000,2
HRR226279,2,43000001,44000000,2
HRR226279,2,44000001,45000000,2
HRR226279,2,45000001,46000000,2
HRR226279,2,46000001,47000000,2
HRR226279,2,47000001,48000000,2
HRR226279,2,48000001,49000000,2
HRR226279,2,51000001,52000000,2
HRR226279,2,52000001,53000000,2
HRR226279,2,53000001,54000000,2
HRR226279,2,55000001,56000000,2
HRR226279,2,56000001,57000000,2
HRR226279,2,58000001,59000000,2
HRR226279,2,59000001,60000000,2
HRR226279,2,60000001,61000000,2
HRR226279,2,61000001,62000000,2
HRR226279,2,62000001,63000000,2
HRR226279,2,63000001,64000000,2
HRR226279,2,64000001,65000000,2
HRR226279,2,65000001,66000000,2
