sample_id	chrom	start	end	cn_a	cn_b
HRR227278	chr1	1	6728552	3	2
HRR227278	chr1	6728553	13457104	3	4
HRR227278	chr1	13457105	20185656	3	3
HRR227278	chr1	20185657	26914208	3	3
HRR227278	chr1	26914209	33642760	3	3
HRR227278	chr1	33642761	40371312	3	3
HRR227278	chr1	40371313	47099864	3	2
HRR227278	chr1	47099865	53828416	3	3
HRR227278	chr1	53828417	60556968	3	3
HRR227278	chr1	60556969	67285520	2	2
HRR227278	chr1	67285521	74014072	3	2
HRR227278	chr1	74014073	80742624	2	2
HRR227278	chr1	80742625	87471176	3	3
HRR227278	chr1	87471177	94199728	3	2
HRR227278	chr1	94199729	100928280	3	3
HRR227278	chr1	100928281	107656832	4	3
HRR227278	chr1	107656833	114385384	3	2
HRR227278	chr1	114385385	121113936	4	4
HRR227278	chr1	121113937	127842488	2	2
HRR227278	chr1	127842489	134571040	2	2
HRR227278	chr1	134571041	141299592	2	2
HRR227278	chr1	141299593	148028144	3	2
HRR227278	chr1	148028145	154756696	3	3
HRR227278	chr1	154756697	161485248	3	3
HRR227278	chr1	161485249	168213800	3	3
HRR227278	chr1	168213801	174942352	2	2
HRR227278	chr1	174942353	181670904	3	3
HRR227278	chr1	181670905	188399456	3	2
HRR227278	chr1	188399457	195128008	3	3
HRR227278	chr1	195128009	201856560	3	3
HRR227278	chr1	201856561	208585112	4	3
HRR227278	chr1	208585113	215313664	3	2
HRR227278	chr1	215313665	222042216	2	3
HRR227278	chr1	222042217	228770768	3	3
HRR227278	chr1	228770769	235499320	2	2
HRR227278	chr1	235499321	242227872	2	2
HRR227278	chr1	242227873	248956422	2	3
HRR227278	chr2	1	6540541	3	4
HRR227278	chr2	6540542	13081082	3	3
HRR227278	chr2	13081083	19621623	3	2
HRR227278	chr2	19621624	26162164	3	3
HRR227278	chr2	26162165	32702705	2	2
HRR227278	chr2	32702706	39243246	2	2
HRR227278	chr2	39243247	45783787	2	2
HRR227278	chr2	45783788	52324328	2	2
HRR227278	chr2	52324329	58864869	3	3
HRR227278	chr2	58864870	65405410	3	3
HRR227278	chr2	65405411	71945951	3	3
HRR227278	chr2	71945952	78486492	3	3
HRR227278	chr2	78486493	85027033	3	2
HRR227278	chr2	85027034	91567574	3	2
HRR227278	chr2	91567575	98108115	3	3
HRR227278	chr2	98108116	104648656	2	3
HRR227278	chr2	104648657	111189197	3	3
HRR227278	chr2	111189198	117729738	4	3
HRR227278	chr2	117729739	124270279	3	3
HRR227278	chr2	124270280	130810820	3	3
HRR227278	chr2	130810821	137351361	3	3
