sample,chromosome,start,end,segVal
HRR226275,1,1000001,14000000,5
HRR226275,1,14000001,18000000,6
HRR226275,1,18000001,26000000,5
HRR226275,1,26000001,29000000,4
HRR226275,1,29000001,35000000,6
HRR226275,1,35000001,47000000,5
HRR226275,1,47000001,50000000,6
HRR226275,1,51000001,73000000,5
HRR226275,1,74000001,78000000,6
HRR226275,1,78000001,108000000,5
HRR226275,1,108000001,111000000,4
HRR226275,1,111000001,118000000,5
HRR226275,1,118000001,120000000,6
HRR226275,1,147000001,153000000,11
HRR226275,1,153000001,155000000,13
HRR226275,1,155000001,156000000,12
HRR226275,1,156000001,157000000,11
HRR226275,1,157000001,158000000,10
HRR226275,1,160000001,202000000,5
HRR226275,1,202000001,206000000,6
HRR226275,1,206000001,248956422,5
HRR226275,2,2000001,24000000,5
HRR226275,2,25000001,28000000,4
HRR226275,2,28000001,30000000,5
HRR226275,2,30000001,35000000,6
HRR226275,2,35000001,42000000,5
HRR226275,2,42000001,45000000,4
HRR226275,2,45000001,57000000,5
HRR226275,2,58000001,61000000,6
HRR226275,2,61000001,128000000,5
HRR226275,2,128000001,138000000,6
HRR226275,2,138000001,164000000,5
HRR226275,2,165000001,171000000,4
HRR226275,2,171000001,175000000,5
HRR226275,2,175000001,178000000,4
HRR226275,2,178000001,239000000,5
HRR226275,2,239000001,242000000,4
HRR226275,3,1,47000000,4
HRR226275,3,47000001,50000000,3
HRR226275,3,50000001,76000000,4
HRR226275,3,76000001,79000000,3
HRR226275,3,79000001,84000000,4
HRR226275,3,84000001,86000000,8
HRR226275,3,86000001,95000000,6
HRR226275,3,95000001,100000000,5
HRR226275,3,100000001,103000000,6
HRR226275,3,103000001,109000000,5
HRR226275,3,109000001,113000000,6
HRR226275,3,113000001,135000000,5
HRR226275,3,135000001,141000000,6
HRR226275,3,141000001,146000000,5
HRR226275,3,146000001,149000000,4
HRR226275,3,149000001,197000000,5
HRR226275,3,197000001,198000000,4
HRR226275,4,1000001,3000000,2
HRR226275,4,3000001,32000000,1
HRR226275,4,33000001,34000000,2
HRR226275,4,34000001,38000000,3
HRR226275,4,38000001,49000000,2
HRR226275,4,52000001,59000000,3
HRR226275,4,59000001,64000000,2
HRR226275,4,65000001,109000000,3
HRR226275,4,109000001,119000000,2
HRR226275,4,119000001,123000000,3
HRR226275,4,123000001,137000000,2
HRR226275,4,137000001,155000000,3
HRR226275,4,156000001,189000000,2
HRR226275,5,1000001,2000000,5
HRR226275,5,2000001,31000000,6
HRR226275,5,31000001,52000000,7
HRR226275,5,52000001,53000000,4
HRR226275,5,53000001,57000000,3
HRR226275,5,57000001,59000000,2
HRR226275,5,59000001,66000000,3
HRR226275,5,67000001,77000000,2
HRR226275,5,77000001,79000000,3
HRR226275,5,81000001,82000000,4
HRR226275,5,82000001,134000000,5
HRR226275,5,135000001,142000000,4
HRR226275,5,142000001,143000000,5
HRR226275,5,143000001,146000000,6
HRR226275,5,146000001,154000000,5
HRR226275,5,154000001,158000000,6
HRR226275,5,158000001,168000000,5
HRR226275,5,168000001,177000000,6
HRR226275,5,178000001,181000000,4
HRR226275,6,2000001,26000000,5
HRR226275,6,26000001,31000000,4
HRR226275,6,31000001,75000000,5
HRR226275,6,75000001,86000000,6
HRR226275,6,86000001,156000000,5
HRR226275,6,157000001,160000000,4
HRR226275,6,160000001,163000000,5
HRR226275,6,164000001,170805979,4
HRR226275,7,1,2000000,4
HRR226275,7,2000001,71000000,5
HRR226275,7,71000001,89000000,6
HRR226275,7,89000001,92000000,7
HRR226275,7,92000001,95000000,6
HRR226275,7,96000001,110000000,7
HRR226275,7,110000001,132000000,6
HRR226275,7,132000001,139000000,7
HRR226275,7,139000001,150000000,6
HRR226275,7,151000001,155000000,5
HRR226275,7,155000001,158000000,6
HRR226275,7,158000001,159000000,5
HRR226275,8,1,5000000,2
HRR226275,8,5000001,15000000,3
HRR226275,8,15000001,26000000,2
HRR226275,8,26000001,39000000,3
HRR226275,8,39000001,43000000,2
HRR226275,8,47000001,50000000,3
HRR226275,8,51000001,61000000,2
HRR226275,8,62000001,83000000,3
HRR226275,8,83000001,85000000,2
HRR226275,8,85000001,93000000,3
HRR226275,8,93000001,96000000,2
HRR226275,8,96000001,145000000,3
HRR226275,9,1,1000000,3
HRR226275,9,1000001,33000000,4
HRR226275,9,35000001,39000000,3
HRR226275,9,69000001,94000000,4
HRR226275,9,94000001,99000000,3
HRR226275,9,99000001,122000000,4
HRR226275,9,123000001,126000000,3
HRR226275,9,126000001,137000000,4
HRR226275,9,137000001,138000000,5
HRR226275,10,1,13000000,6
HRR226275,10,13000001,24000000,7
HRR226275,10,24000001,30000000,6
HRR226275,10,31000001,34000000,7
HRR226275,10,34000001,36000000,6
HRR226275,10,43000001,59000000,3
HRR226275,10,60000001,65000000,2
HRR226275,10,65000001,68000000,3
HRR226275,10,68000001,76000000,2
HRR226275,10,76000001,88000000,3
HRR226275,10,90000001,92000000,2
HRR226275,10,92000001,102000000,3
HRR226275,10,102000001,106000000,2
HRR226275,10,106000001,133000000,3
HRR226275,11,1,1000000,3
HRR226275,11,1000001,69000000,4
HRR226275,11,69000001,73000000,5
HRR226275,11,74000001,133000000,4
HRR226275,11,133000001,135086622,3
HRR226275,12,1000001,24000000,3
HRR226275,12,24000001,31000000,2
HRR226275,12,32000001,48000000,3
HRR226275,12,48000001,54000000,2
HRR226275,12,54000001,55000000,3
HRR226275,12,55000001,59000000,4
HRR226275,12,59000001,62000000,3
HRR226275,12,63000001,120000000,4
HRR226275,12,120000001,123000000,3
HRR226275,12,124000001,132000000,4
HRR226275,12,132000001,133275309,3
HRR226275,13,20000001,21000000,3
HRR226275,13,21000001,22000000,4
HRR226275,13,22000001,25000000,5
HRR226275,13,26000001,27000000,2
HRR226275,13,27000001,86000000,1
HRR226275,13,86000001,87000000,3
HRR226275,13,87000001,88000000,4
HRR226275,13,89000001,90000000,5
HRR226275,13,90000001,91000000,6
HRR226275,13,91000001,93000000,8
HRR226275,13,93000001,105000000,9
HRR226275,13,106000001,107000000,8
HRR226275,13,108000001,111000000,5
HRR226275,13,111000001,114364328,4
HRR226275,14,19000001,20000000,4
HRR226275,14,20000001,50000000,5
HRR226275,14,50000001,54000000,4
HRR226275,14,54000001,72000000,5
HRR226275,14,72000001,77000000,4
HRR226275,14,77000001,78000000,5
HRR226275,14,78000001,81000000,6
HRR226275,14,81000001,99000000,5
HRR226275,14,99000001,105000000,4
HRR226275,15,23000001,24000000,4
HRR226275,15,24000001,34000000,5
HRR226275,15,36000001,39000000,6
HRR226275,15,39000001,46000000,5
HRR226275,15,46000001,49000000,6
HRR226275,15,49000001,62000000,5
HRR226275,15,62000001,66000000,4
HRR226275,15,66000001,84000000,5
HRR226275,15,85000001,88000000,6
HRR226275,15,88000001,101991189,5
HRR226275,16,1,5000000,5
HRR226275,16,5000001,14000000,6
HRR226275,16,14000001,24000000,5
HRR226275,16,24000001,27000000,6
HRR226275,16,27000001,48000000,4
HRR226275,16,48000001,80000000,5
HRR226275,16,80000001,89000000,6
HRR226275,16,89000001,90000000,4
HRR226275,17,1000001,33000000,3
HRR226275,17,33000001,39000000,5
HRR226275,17,39000001,40000000,4
HRR226275,17,40000001,51000000,3
HRR226275,17,51000001,58000000,4
HRR226275,17,58000001,62000000,3
HRR226275,17,62000001,78000000,4
HRR226275,17,78000001,83257441,5
HRR226275,18,1,42000000,5
HRR226275,18,42000001,46000000,6
HRR226275,18,46000001,73000000,5
HRR226275,18,73000001,80373285,4
HRR226275,19,1000001,4000000,4
HRR226275,19,4000001,9000000,5
HRR226275,19,9000001,12000000,4
HRR226275,19,14000001,42000000,5
HRR226275,19,42000001,45000000,6
HRR226275,19,45000001,58617616,5
HRR226275,20,1,49000000,5
HRR226275,20,49000001,59000000,6
HRR226275,20,59000001,60000000,5
HRR226275,20,60000001,64444167,4
HRR226275,21,14000001,34000000,4
HRR226275,21,34000001,38000000,3
HRR226275,21,38000001,46709983,4
HRR226275,22,17000001,20000000,4
HRR226275,22,20000001,21000000,5
HRR226275,22,23000001,30000000,6
HRR226275,22,30000001,39000000,5
HRR226275,22,39000001,42000000,4
HRR226275,22,42000001,46000000,5
HRR226275,22,47000001,50000000,6
