sample,chromosome,start,end,segVal
P01,1,900001,11500000,2
P01,1,11500001,20100000,3
P01,1,20100001,147500000,2
P01,1,147500001,171000000,3
P01,1,171000001,203300000,2
P01,1,203300001,205800000,3
P01,1,205800001,248800000,2
P01,1,248800001,248900000,1
P01,2,1,3200000,1
P01,2,3200001,239000000,2
P01,2,239000001,242100000,1
P01,3,100001,300000,1
P01,3,300001,198100000,2
P01,4,100001,189500000,2
P01,5,100001,179400000,2
P01,5,179400001,181300000,1
P01,6,400001,600000,1
P01,6,600001,166700000,2
P01,6,166700001,170600000,1
P01,7,1,1600000,1
P01,7,1600001,159200000,2
P01,8,500001,145000000,2
P01,9,200001,138100000,2
P01,10,100001,129400000,2
P01,10,129400001,133600000,1
P01,11,200001,800000,1
P01,11,800001,68900000,2
P01,11,68900001,69000000,3
P01,11,69000001,69800000,5
P01,11,69800001,72100000,3
P01,11,72100001,72200000,4
P01,11,72200001,72300000,5
P01,11,72300001,72900000,6
P01,11,72900001,73000000,5
P01,11,73000001,73100000,4
P01,11,73100001,135086622,2
P01,12,100001,127500000,2
P01,12,127500001,131600000,3
P01,12,131600001,133275309,2
P01,13,18900001,114364328,2
P01,14,20000001,106900000,2
P01,15,22800001,101800000,2
P01,16,1,90100000,2
P01,17,200001,83200000,2
P01,18,200001,75300000,2
P01,18,75300001,80300000,1
P01,19,300001,3100000,1
P01,19,3100001,58600000,2
P01,20,1,11300000,2
P01,20,11300001,23500000,3
P01,20,23500001,64300000,2
P01,21,10200001,46700000,2
P01,22,16900001,49500000,2
P01,22,49500001,50700000,1
P02,1,900001,1200000,6
P02,1,1200001,2100000,5
P02,1,2100001,27000000,4
P02,1,27000001,29200000,3
P02,1,29200001,48100000,4
P02,1,48100001,50300000,5
P02,1,50300001,119200000,4
P02,1,119200001,120000000,5
P02,1,145700001,147200000,6
P02,1,147200001,152300000,7
P02,1,152300001,154300000,6
P02,1,154300001,156000000,5
P02,1,156000001,157300000,6
P02,1,157300001,160800000,7
P02,1,160800001,172700000,6
P02,1,172800001,178000000,7
P02,1,178000001,179200000,6
P02,1,179200001,181100000,5
P02,1,181100001,186300000,6
P02,1,186300001,201000000,5
P02,1,201000001,203100000,6
P02,1,203100001,205100000,5
P02,1,205100001,211100000,6
P02,1,211100001,212300000,5
P02,1,212300001,225400000,6
P02,1,225400001,229200000,5
P02,1,229200001,234700000,6
P02,1,234800001,237900000,5
P02,1,238000001,248800000,6
P02,1,248800001,248900000,5
P02,2,1,29100000,4
P02,2,29100001,31900000,5
P02,2,31900001,32700000,3
P02,2,32700001,48700000,4
P02,2,48700001,53700000,5
P02,2,53700001,63600000,4
P02,2,63600001,67900000,5
P02,2,68000001,75500000,4
P02,2,75500001,82100000,5
P02,2,82100001,105300000,4
P02,2,105300001,121800000,5
P02,2,121800001,133000000,4
P02,2,133000001,137700000,5
P02,2,137700001,143400000,4
P02,2,143400001,154500000,5
P02,2,154500001,175300000,4
P02,2,175300001,176400000,5
P02,2,176400001,180800000,4
P02,2,180800001,188900000,5
P02,2,188900001,201100000,4
P02,2,201100001,203500000,3
P02,2,203500001,204000000,4
P02,2,204000001,204900000,5
P02,2,204900001,232400000,4
P02,2,232400001,235900000,5
P02,2,235900001,242100000,4
P02,3,100001,1500000,4
P02,3,1500001,4400000,5
P02,3,4400001,24400000,4
P02,3,24400001,30100000,5
P02,3,30100001,150300000,4
P02,3,150300001,165600000,5
P02,3,165600001,170500000,4
P02,3,170500001,179100000,5
P02,3,179100001,179600000,4
P02,3,179600001,195100000,5
P02,3,195100001,198100000,4
P02,4,100001,46800000,4
P02,4,46800001,54100000,5
P02,4,54100001,73000000,4
P02,4,73000001,75500000,5
P02,4,75500001,173700000,4
P02,4,173700001,189500000,3
P02,5,100001,200000,3
P02,5,300001,22700000,5
P02,5,22700001,29900000,4
P02,5,29900001,76100000,5
P02,5,76100001,81000000,4
P02,5,81000001,131700000,5
P02,5,131700001,136000000,4
P02,5,136000001,139700000,5
P02,5,139700001,141600000,4
P02,5,141600001,177000000,5
